title;author;format;categories;cover_url;description;slug
Wolf;Saša Stanišić;Buch, E-Book, Hörbuch;Mobbing & Ausgrenzung, Toleranz & Respekt, Selbstbewusstsein & Selbstliebe;https://images.thalia.media/00/-/4933cb02aa76483fa74ca7121fc00a20/wolf-taschenbuch-sasa-stanisic.jpeg;Kemi wird im Ferienlager Teil einer Gruppe unterschiedlichster Jugendlicher und Betreuer. Und er trifft auf Jörg, der irgendwie andersiger ist, für den sich Kemi aber sehr interessiert. Er beobachtet genau, was die anderen mit Jörg machen und wie in der Gruppe langsam alles eskaliert. Wie weit? In seinen Träumen begegnet Kemi einem Wolf, seiner eigenen Angst. Er lernt, mit dem Wolf zu leben und mutig zu sein.;wolf
Wunder;R.J. Palacio;Buch, E-Book, Hörbuch;Vielfalt & Diversität, Toleranz & Respekt;https://images.thalia.media/00/-/e400f50acdda4f2c95e0270bfc5ee209/wunder-sieh-mich-nicht-an-taschenbuch-r-j-palacio.jpeg;August ist zehn Jahre alt und lebt mit seinen Eltern und seiner Schwester Via in New York. August ist schlagfertig, witzig und sensibel. Eigentlich könnte also alles ganz normal sein in seinem Leben. Doch eines trennt August von seinen Altersgenossen: Sein Gesicht ist entstellt, und unzählige Operationen hat er schon über sich ergehen lassen müssen. Das ist auch der Grund, warum er noch nie auf einer öffentlichen Schule war und bisher zu Hause unterrichtet wurde. Das neue Jahr aber soll alles ändern. August wird in die fünfte Klasse der Bezirksschule gehen, und natürlich hat er Angst. Angst davor, angestarrt und ausgegrenzt zu werden. Doch August wäre nicht August, würde er nicht auch diese Herausforderung mit Bravour meistern!;wunder
Steck mal in meiner Haut!;Saskia Hödl;Buch, E-Book;Emotionale Intelligenz & Empathie, Vielfalt & Diversität;https://education21.ch/sites/default/files/2022-10/4.02.22269.de_.jpg;Rassistisches Gedankengut steckt noch immer tief in unserer Gesellschaft – und verändern können wir es nur, indem wir uns aktiv mit Themen wie Kolonialismus, Alltagsrassismus und struktureller Benachteiligung auseinandersetzen und dieses Wissen an unsere Kinder weitertragen. Dieses achtsam geschriebene Bilderbuch klärt kindgerecht über den Umgang mit Rassismus auf und schenkt vor allem Hoffnung auf eine Welt, in der Menschen nicht mehr aufgrund ihrer Hautfarbe diskriminiert werden. ;steckmalinmeinerhaut
Wir packen das und sagen was;Regina Feldmann;Buch;Selbstbewusstsein & Selbstliebe, Gemeinschaft;https://images.thalia.media/00/-/91e731bd9c884ff597b4d07d1bb747b8/wir-packen-das-und-sagen-was-gebundene-ausgabe-regina-feldmann.jpeg;Kennst du das? Du hast Spaß mit deiner Familie, befreundeten Kindern oder auch ganz allein - und plötzlich macht ein anderer Mensch etwas, das sich nicht gut anfühlt. So geht es auch den Kindern in diesem Buch. Tuyeni kümmert sich zum Beispiel gerade um die Geburtstagsfeier ihrer Cousine, als ihr eine fremde Frau einfach in die Haare fasst, ohne zu fragen. Malina will ihrer Mutter Eis bringen, als ihr Rollstuhl plötzlich festgehalten wird. Und Jans Eltern glauben nicht, dass er sein Stelzenhaus aufbauen kann.;wirpackendasundsagenwas
Das kleine WIR in der Schule;Daniela Kunkel;Buch, E-Book, Hörbuch;Freundschaft & Familie, Gemeinschaft;https://images.thalia.media/00/-/5370761a9d5a4b13bfe1131dc2a5eab4/das-kleine-wir-in-der-schule-gebundene-ausgabe-daniela-kunkel.jpeg;Ein kleines WIR entsteht immer dort, wo Menschen zusammenkommen und sich mögen! Auch die Kinder der Wolkenklasse haben ein kleines WIR. Ob Matheunterricht, Sport oder große Pause – mit dem WIR macht alles doppelt so viel Spaß. Aber manchmal verschwindet das kleine WIR. Denn auch die Schüler*innen der Wolkenklasse sind nicht immer einer Meinung. Sie ärgern sich mal übereinander, haben Streit oder sagen blöde Sachen. Dann verschwindet das kleine WIR und die Kinder vermissen es sehr. Denn ohne WIR-Gefühl fehlt der Wolkenklasse der Zusammenhalt. Alle sind traurig und selbst die lustigsten Spiele machen keine Freude mehr. Zum Glück wissen die Schüler*innen, wie sie ihr WIR aufstöbern und aufpäppeln können. Bald ist ihr kleines WIR wieder groß und stark und allen geht es wieder gut! ;daskleinewirinderschule
Das kleine WIR in der 1. Klasse;Anja Herrenbrück;Buch, E-Book;Freundschaft & Familie, Gemeinschaft;https://images.thalia.media/00/-/3348284cbc034bb8916119fc746c577d/das-kleine-wir-in-der-1-klasse-gebundene-ausgabe-anja-herrenbrueck.jpeg;Auch die Kinder der ersten Klasse haben ein kleines WIR. Ob Matheunterricht, Lesen und Schreiben, Sport oder große Pause – mit dem WIR macht alles doppelt so viel Spaß. Doch die Schüler*innen der Wolkenklasse sind nicht immer einer Meinung. Sie haben auch mal Streit oder sagen blöde Sachen. Dann verschwindet das kleine WIR, und die Kinder vermissen es sehr. Denn ohne WIR-Gefühl fehlt der Wolkenklasse der Zusammenhalt. Zum Glück wissen die Schüler*innen, wie sie ihr WIR aufstöbern und aufpäppeln können. Bald ist ihr kleines WIR  groß und stark. Und eins ist klar: Gemeinsam ist es einfach am schönsten!;daskleinewirinder1klasse
Ich geh doch nicht mit Jedem mit!;Dagmar Geisler;Buch, E-Book;Konsens & Autonomie;https://images.thalia.media/00/-/90f560595c054fd88adb3cb3705e5ffc/ich-geh-doch-nicht-mit-jedem-mit-starke-kinder-glueckliche-eltern-gebundene-ausgabe-dagmar-geisler.jpeg;Lu wartet darauf, endlich abgeholt zu werden. Ganz allein steht sie auf der Straße. Da kommt Frau Schmidt vorbei. „Hallo, Lu! Komm mit, ich bringe dich nach Hause.“ Frau Schmidt wohnt in der gleichen Gegend wie Lu. Aber wie heißt sie eigentlich mit Vornamen? Und sind ihre roten Haare echt oder bloß gefärbt? Das alles weiß Lu nicht. „Ich kenn dich nicht, ich geh nicht mit!“, sagt sie. „Und außerdem hat Mama gesagt, dass ich warten soll.“;ichgehdochnichtmitjedemmit
Kalle will nicht knuddeln - Eine Geschichte zu Konsens und Nein-Sagen ab 4 Jahren;Jule Wellerdiek;Buch;Konsens & Autonomie;https://images.thalia.media/00/-/91ec8f332a6f4655afb0e71eb3abfce7/kalle-will-nicht-knuddeln-eine-geschichte-zu-consent-und-nein-sagen-ab-4-jahren-gebundene-ausgabe-jule-wellerdiek.jpeg;Kalle ist ein kleiner wuscheliger Hund. Er freut sich immer, wenn er im Park seine Freunde trifft. Doch bei ihrer wilden Begrüßung fühlt er sich unwohl – sie überfallen ihn regelrecht mit einer Knuddelattacke. Wie soll Kalle das bloß verhindern und seine eigenen Grenzen setzen? Seine Lösung: Er verkleidet sich als Kaktus! Doch sind Härte und Abgrenzung wirklich der richtige Weg? Als die anderen Hunde hören, was es mit dem Kostüm auf sich hat, einigen sie sich stattdessen schnell auf eine neue Begrüßung, mit der alle glücklich sind.;kallewillnichtknuddelneinegeschichtezukonsensundneinsagenab4jahren
Irgendwie Anders;Kathryn Cave;Buch;Vielfalt & Diversität, Toleranz & Respekt, Freundschaft & Familie;https://images.thalia.media/00/-/77776b2fe6b44b07a07674cbbba5f131/irgendwie-anders-gebundene-ausgabe-kathryn-cave.jpeg;So sehr er sich auch bemüht, wie die anderen zu sein: Irgendwie Anders gehört einfach nicht dazu. Er lebt ganz allein auf einem hohen Berg und hat keine Freunde. Eines Tages steht ein seltsames Etwas vor seiner Tür. Es sieht ganz anders aus als Irgendwie Anders, behauptet aber, genau wie er zu sein... Kathryn Caves Bilderbuch-Klassiker über Außenseiter und das Anderssein gibt es jetzt auch in einer kompakten und stabilen Pappbilderbuch-Ausgabe für Kinder ab 3 Jahren. Das Bilderbuch wurde von Chris Riddell bezaubernd illustriert. Es vermittelt behutsam und kindgerecht wichtige Werte wie Toleranz, Respekt und Empathie.;irgendwieanders
Das alles ist Familie;Michael Engler;Buch;Freundschaft & Familie, Vielfalt & Diversität;https://images.thalia.media/00/-/506917848fad4bb8a3ab6f62e4f24124/das-alles-ist-familie-gebundene-ausgabe-michael-engler.jpeg;"Als Lars mit seiner Mama vom Einkaufen zurückkommt, entdeckt er ein Päckchen auf dem Bürgersteig vor ihrem Haus. „An Familie"" steht darauf – den Rest kann man nicht mehr lesen, denn der Regen hat die Schrift verschmiert. Gemeinsam mit Lina, die nebenan wohnt, macht sich Lars auf eine Entdeckungsreise durch die Nachbarschaft und lernt dabei die unterschiedlichsten Familien kennen. Wem das Päckchen wohl gehört?";dasallesistfamilie
Der Hase mit der roten Nase;Helme Heine;Buch;Selbstbewusstsein & Selbstliebe, Vielfalt & Diversität;https://images.thalia.media/00/-/30ba6d847ad5418180c17992f546866d/der-hase-mit-der-roten-nase-gebundene-ausgabe-helme-heine.jpeg;"Ein Bilderbuch von Helme Heine, dem Schöpfer der ""Freunde"": die eingängigen Reime zum Vorlesen für Kinder ab 2 Jahren erzählen davon, anders zu sein und dass gerade in der Vielfalt das Glück liegt. So freut sich der Hase mit der roten Nase: ""Wie schön ist meine Nase und auch mein blaues Ohr, das kommt so selten vor!""";derhasemitderrotennase
